gene_id,gene_name
1183,S100A4
1184,S100A3
1185,S100A2
1186,BX470102.2
1187,S100A16
1188,S100A13
1189,S100A1
1190,AL162258.2
1191,CHTOP
1192,SNAPIN
1193,ILF2
1194,INTS3
1195,SLC27A3
1196,GATAD2B
1197,DENND4B
1198,CRTC2
1199,SLC39A1
1200,AL358472.4
1201,CREB3L4
1202,JTB
1203,RAB13
1204,RPS27
1205,NUP210L
1206,TPM3
1207,C1orf43
1208,UBAP2L
1209,HAX1
1210,ATP8B2
1211,IL6R
1212,SHE
1213,TDRD10
1214,UBE2Q1
1215,CHRNB2
1216,ADAR
1217,KCNN3
1218,PMVK
1219,PBXIP1
1220,PYGO2
1221,AL451085.2
1222,SHC1
1223,CKS1B
1224,FLAD1
1225,ZBTB7B
1226,ADAM15
1227,EFNA4
1228,EFNA1
1229,SLC50A1
1230,DPM3
1231,KRTCAP2
1232,TRIM46
1233,MUC1
1234,AC234582.1
1235,THBS3
1236,MTX1
1237,GBA
1238,FAM189B
1239,SCAMP3
1240,CLK2
1241,HCN3
1242,FDPS
1243,RUSC1-AS1
1244,RUSC1
1245,ASH1L
1246,ASH1L-AS1
1247,MSTO1
1248,AL353807.5
1249,YY1AP1
1250,DAP3
1251,GON4L
1252,SYT11
1253,RIT1
1254,KHDC4
1255,ARHGEF2
1256,AL355388.2
1257,AL355388.1
1258,SSR2
1259,UBQLN4
1260,LAMTOR2
1261,MEX3A
1262,LMNA
1263,SEMA4A
1264,SLC25A44
1265,PMF1
1266,BGLAP
1267,PAQR6
1268,SMG5
1269,TMEM79
1270,GLMP
1271,CCT3
1272,TSACC
1273,C1orf61
1274,MEF2D
1275,IQGAP3
1276,NAXE
1277,GPATCH4
1278,HAPLN2
1279,BCAN
1280,AL590666.2
1281,NES
1282,CRABP2
1283,ISG20L2
1284,RRNAD1
1285,MRPL24
1286,HDGF
1287,PRCC
1288,NTRK1
1289,INSRR
1290,PEAR1
1291,ARHGEF11
1292,ETV3
1293,KIRREL1
1294,CD1D
1295,MNDA
1296,IFI16
1297,AIM2
1298,CADM3
1299,CADM3-AS1
1300,ACKR1
1301,DUSP23
1302,AL590560.2
1303,VSIG8
1304,AL590560.3
1305,TAGLN2
1306,LINC01133
1307,KCNJ10
1308,PIGM
1309,AL121987.1
1310,IGSF8
1311,ATP1A2
1312,ATP1A4
1313,PEA15
1314,DCAF8
1315,PEX19
1316,COPA
1317,NCSTN
1318,NHLH1
1319,VANGL2
1320,CD84
1321,SLAMF1
1322,CD48
1323,F11R
1324,TSTD1
1325,USF1
1326,ARHGAP30
1327,KLHDC9
1328,PFDN2
1329,NIT1
1330,DEDD
1331,UFC1
1332,USP21
1333,PPOX
1334,B4GALT3
1335,ADAMTS4
1336,NDUFS2
1337,FCER1G
1338,TOMM40L
1339,PCP4L1
1340,MPZ
1341,SDHC
1342,AL592295.4
1343,AL592295.5
1344,FCGR2A
1345,FCGR3A
1346,FCGR2B
1347,DUSP12
1348,ATF6
1349,OLFML2B
1350,NOS1AP
1351,AL450163.1
1352,C1orf226
1353,SH2D1B
1354,UHMK1
1355,UAP1
1356,DDR2
1357,HSD17B7
1358,RGS4
1359,RGS5
1360,AL499616.1
1361,AL592435.1
1362,NUF2
1363,PBX1
1364,LMX1A
1365,RXRG
1366,LRRC52
1367,MGST3
1368,ALDH9A1
1369,TMCO1
1370,TMCO1-AS1
1371,UCK2
1372,AL358115.1
1373,FAM78B
1374,AL626787.1
1375,AL596087.2
1376,POGK
1377,TADA1
1378,ILDR2
1379,MAEL
1380,GPA33
1381,POU2F1
1382,AL136984.1
1383,CD247
1384,CREG1
1385,RCSD1
1386,MPZL1
1387,ADCY10
1388,MPC2
1389,DCAF6
1390,GPR161
1391,TIPRL
1392,SFT2D2
1393,TBX19
1394,LINC00970
1395,ATP1B1
1396,NME7
1397,Z99758.1
1398,BLZF1
1399,CCDC181
1400,SLC19A2
1401,Z99572.1
1402,F5
1403,SELP
1404,C1orf112
1405,SELL
1406,SELE
1407,METTL18
1408,SCYL3
1409,KIFAP3
1410,GORAB-AS1
1411,GORAB
1412,PRRX1
1413,Z97200.1
1414,BX284613.2
1415,FMO2
1416,FMO1
1417,FMO4
1418,PRRC2C
1419,VAMP4
1420,EEF1AKNMT
1421,DNM3
1422,DNM3-IT1
1423,DNM3OS
1424,AL137157.1
1425,PIGC
1426,C1orf105
1427,SUCO
1428,TNFSF18
1429,TNFSF4
1430,AL645568.1
1431,PRDX6
1432,SLC9C2
1433,AL139142.1
1434,ANKRD45
1435,KLHL20
1436,CENPL
1437,DARS2
1438,GAS5
1439,GAS5-AS1
1440,ZBTB37
1441,RC3H1
1442,RC3H1-IT1
1443,RABGAP1L
1444,RABGAP1L-IT1
1445,Z99127.1
1446,Z99127.4
1447,CACYBP
1448,MRPS14
1449,KIAA0040
1450,TNR
1451,LINC02803
1452,COP1
1453,AL591043.2
1454,PAPPA2
1455,ASTN1
1456,BRINP2
1457,SEC16B
1458,RASAL2-AS1
1459,RASAL2
1460,C1orf220
1461,RALGPS2
1462,ANGPTL1
1463,FAM20B
1464,TOR3A
1465,ABL2
1466,SOAT1
1467,AXDND1
1468,TDRD5
1469,FAM163A
1470,TOR1AIP2
1471,TOR1AIP1
1472,CEP350
1473,QSOX1
1474,LHX4
1475,ACBD6
1476,XPR1
1477,KIAA1614
1478,AL162431.1
1479,STX6
1480,MR1
1481,IER5
1482,CACNA1E
1483,LINC01344
1484,GLUL
1485,RGSL1
1486,RNASEL
1487,RGS16
1488,RGS8
1489,NPL
1490,AL355999.1
1491,DHX9
1492,LAMC1
1493,LAMC1-AS1
1494,NMNAT2
1495,SMG7
1496,NCF2
1497,ARPC5
1498,RGL1
1499,APOBEC4
1500,COLGALT2
1501,TSEN15
1502,AL158011.1
1503,C1orf21
1504,AL713852.1
1505,AL713852.2
1506,EDEM3
1507,NIBAN1
1508,RNF2
1509,TRMT1L
1510,SWT1
1511,IVNS1ABP
1512,LINC01350
1513,HMCN1
1514,PRG4
1515,TPR
1516,ODR4
1517,AL096803.2
1518,PDC
1519,PACERR
1520,PLA2G4A
1521,ERVMER61-1
1522,BRINP3
1523,AL354771.1
1524,LINC02770
1525,RGS18
1526,AL390957.1
1527,RGS21
1528,RGS1
1529,RGS2
1530,UCHL5
1531,RO60
1532,GLRX2
1533,CDC73
1534,B3GALT2
1535,LINC01031
1536,AL136456.1
1537,KCNT2
1538,CFH
