Dataset,Cell_or_nuclei,donor_ID,SpinalRegion,Level,Atlas_annotation,Sex,Age,Platform,cell_id
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,166
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,167
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.CCKAR,unassigned,unassigned,10x 3' RNA,168
U19_HMS,Nuclei,G-210,Unknown,Unk,A-LTMR.TAC3,unassigned,unassigned,10x 3' RNA,169
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,170
U19_HMS,Nuclei,G-210,Unknown,Unk,C-NP.MRGPRX1/GFRA2,unassigned,unassigned,10x 3' RNA,171
U19_HMS,Nuclei,G-210,Unknown,Unk,C-NP.SST,unassigned,unassigned,10x 3' RNA,172
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,173
U19_HMS,Nuclei,G-173,Unknown,Unk,C-NP.MRGPRX1/GFRA2,unassigned,unassigned,10x 3' RNA,174
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-NP.SST,unassigned,unassigned,10x 3' RNA,175
U19_HMS,Nuclei,G-210,Unknown,Unk,C-PEP.TAC1/CACNG5,unassigned,unassigned,10x 3' RNA,176
U19_HMS,Nuclei,,Unknown,Unk,A-LTMR.TAC3,unassigned,unassigned,10x 3' RNA,177
U19_HMS,Nuclei,unassigned,Unknown,Unk,Ab-LTMR.LGI2,unassigned,unassigned,10x 3' RNA,178
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,179
U19_HMS,Nuclei,G-270,Unknown,Unk,Ab-LTMR.NSG2,unassigned,unassigned,10x 3' RNA,180
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-PEP.TAC1/CACNG5,unassigned,unassigned,10x 3' RNA,181
